speaker,title,photo
Adithya Krishna,Terraform meets Elastic Cloud,input/deploy/images/Adithya_Krishna.jpg
Bram Vogelaar,10 Things I Learned Building Nomad Packs,input/deploy/images/Bram_Vogelaar.png
Cassie Coyle,Use Waypoint To Easily Deploy To All 3 Cloud Providers,input/deploy/images/Cassie_Coyle.jpg
Chris Ayers,Securely deploying Infrastructure as Code,input/deploy/images/Chris_Ayers.jpg
Chris Nesbitt-Smith,Is It Time To Put Your Pet Kubernetes Down?,input/deploy/images/Chris_Nesbitt-Smith.png
David Dunstan,Platform Engineering at HashiCorp,input/deploy/images/David_Dunstan.jpg
Dwayne McDaniel,So My Credentials Have Been Leaked...Now What?,input/deploy/images/Dwayne_McDaniel.png
Eddie Rowe,GitOps:  One Repo to rule them all,input/deploy/images/Eddie_Rowe.png
Eric Evans,SLSA and GUAC: A Tasty Combination for Supply Chain Security featuring Waypoint,input/deploy/images/Eric_Evans.jpg
Jillian Morgan,Bootstrapping Terraform secrets with the 1Password CLI,input/deploy/images/Jillian_Morgan.png
Joseph Rajewski,"Blue-Green Deployments with Waypoint, Nomad, and Consul",input/deploy/images/Joseph_Rajewski.png
Jubril Oyetunji,Keeping things secret with Vault,input/deploy/images/Jubril_Oyetunji.jpg
Karthik Ravishankar,Terraform meets Elastic Cloud,input/deploy/images/Karthik_Ravishankar.jpg
Krastin Krastev,Canary Deployments with Consul Service Mesh on K8s,input/deploy/images/Krastin_Krastev.jpg
Kyle Penfound,Portable CD pipelines for Nomad with Vault and Dagger,input/deploy/images/Kyle_Penfound.jpg
Martin Smith,Looking at idempotency in AWS Lambda deployments,input/deploy/images/Martin_Smith.png
Matt Butcher,Launching the Fermyon Cloud with Nomad and WebAssembly,input/deploy/images/Matt_Butcher.jpg
Michael Lange,All Hands on Deck: How We Share Our Work,input/deploy/images/Michael_Lange.jpg
Natalie Sererbyakova,how to keep your secrets secured and audited,input/deploy/images/Natalie_Sererbyakova.jpeg
Saptak Takalkar,Self service infrastructure provisioning with Terraform & AWS Service Catalog,input/deploy/images/Saptak_Takalkar.jpg
